Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-3331.5,-1582.0,-1749.5,12.721410396364,12.088701196511586,-470.0,-366.5,-377.5,-368.0,-537.0,-380.5,-379.0,-453.0
-3590.5,-1839.0,-1751.5,13.077149979273479,11.42312980890274,-501.0,-359.5,-540.0,-438.5,-416.5,-477.5,-432.0,-425.5
-3403.5,-1772.5,-1631.0,12.092252972390916,11.911131591267056,-515.0,-303.5,-498.5,-455.5,-411.0,-459.5,-320.0,-440.5
-3801.0,-1795.0,-2006.0,11.272023119529088,11.026807402239905,-593.0,-298.0,-425.5,-478.5,-509.5,-495.0,-498.0,-503.5
-4137.5,-2193.5,-1944.0,11.932500722673204,11.301243175400629,-568.5,-391.5,-580.5,-653.0,-496.0,-460.0,-551.5,-436.5
-3623.0,-1893.0,-1730.0,12.047294636567434,11.143115264839595,-593.0,-397.0,-395.0,-508.0,-406.0,-516.0,-430.5,-377.5
-3567.5,-1903.0,-1664.5,10.970852185620203,10.984320351812574,-641.0,-341.0,-534.5,-386.5,-381.0,-444.0,-429.5,-410.0
-3992.5,-2065.5,-1927.0,11.114275829659569,11.237242491377724,-668.0,-501.5,-438.0,-458.0,-442.0,-559.5,-500.5,-425.0
-3239.5,-1568.0,-1671.5,10.45620198117362,10.332621592945523,-627.0,-305.0,-353.0,-283.0,-437.5,-370.0,-474.5,-389.5
-3986.5,-1940.0,-2046.5,10.268648546934127,10.117886536651188,-516.5,-352.5,-575.0,-496.0,-566.5,-576.5,-399.0,-504.5
-3944.5,-1983.0,-1961.5,10.503573950794008,10.334427539507548,-543.0,-426.0,-522.5,-491.5,-491.5,-546.5,-402.5,-521.0
-3978.0,-2000.0,-1978.0,10.844823628001743,10.6805918958452,-698.0,-401.0,-400.0,-501.0,-660.5,-473.5,-341.5,-502.5
-3620.5,-1711.0,-1909.5,10.817870552010007,10.195022634002898,-474.0,-413.0,-440.0,-384.0,-491.0,-451.0,-483.0,-484.5
-3585.5,-2035.5,-1550.0,10.615069360203213,10.147482485903634,-546.0,-358.5,-578.0,-553.0,-400.5,-374.0,-374.5,-401.0
-3940.5,-2175.0,-1765.5,10.696003877454334,9.761514612701204,-683.0,-428.0,-447.5,-616.5,-555.0,-446.5,-337.0,-427.0
-3733.0,-1876.5,-1856.5,10.610239165359074,9.963292388783561,-450.5,-393.5,-553.0,-479.5,-475.0,-443.5,-377.5,-560.5
-3905.5,-1934.5,-1971.0,10.60695598522822,10.175297194057041,-678.5,-392.0,-553.5,-310.5,-652.0,-443.5,-451.0,-424.5
-3571.0,-1913.5,-1657.5,10.789268104235331,9.620010029607348,-562.0,-391.5,-536.0,-424.0,-485.0,-454.0,-287.0,-431.5
-3772.0,-1729.0,-2043.0,10.919310328033236,9.669602306683858,-516.5,-303.0,-495.0,-414.5,-509.0,-527.5,-519.5,-487.0
-3202.0,-1752.5,-1449.5,10.595936115582784,9.581150816546547,-709.5,-306.5,-457.5,-279.0,-371.5,-411.5,-274.5,-392.0
-3660.5,-2142.5,-1518.0,10.448152002361086,9.293031152089437,-722.5,-402.5,-552.0,-465.5,-452.0,-464.5,-274.5,-327.0
-3293.5,-1545.5,-1748.0,10.332070354620615,9.603937857680851,-491.0,-275.5,-357.5,-421.5,-538.5,-464.5,-353.0,-392.0
-3722.0,-1868.5,-1853.5,10.221543891562355,9.11804041200214,-581.5,-329.0,-498.0,-460.0,-656.5,-452.0,-419.0,-326.0
-3289.0,-1561.5,-1727.5,10.268821687168545,9.216019991371367,-462.5,-403.5,-393.0,-302.5,-502.0,-445.0,-339.0,-441.5
-3490.5,-1846.0,-1644.5,10.123374327686097,9.21510401699278,-434.0,-426.0,-474.0,-512.0,-337.5,-495.5,-351.0,-460.5
-3788.0,-2077.0,-1711.0,10.000122584236992,8.549883913331561,-619.0,-357.5,-580.0,-520.5,-590.5,-477.5,-329.5,-313.5
-3446.0,-1580.0,-1866.0,9.832640914784538,9.308158210251067,-586.0,-222.0,-453.0,-319.0,-565.0,-425.5,-471.5,-404.0
-3605.0,-1997.5,-1607.5,9.779686903953552,8.978117476569281,-486.5,-479.0,-538.5,-493.5,-512.5,-436.5,-269.0,-389.5
-3097.0,-1476.5,-1620.5,9.581535563866298,8.84593556523323,-485.5,-324.5,-342.0,-324.5,-475.5,-406.0,-352.0,-387.0
-3257.0,-1659.0,-1598.0,9.998996643225352,9.120435216029485,-436.5,-287.0,-440.0,-495.5,-446.5,-514.0,-250.0,-387.5
-3377.0,-1677.5,-1699.5,10.33406584262848,9.073984928263558,-424.0,-317.0,-440.0,-496.5,-388.0,-465.0,-393.5,-453.0
-3484.5,-1738.5,-1746.0,9.549075763755374,8.98777879609002,-520.0,-380.0,-389.5,-449.0,-541.5,-361.5,-471.5,-371.5
-3668.0,-1922.0,-1746.0,10.178812697198655,9.012716394662856,-597.0,-344.0,-528.5,-452.5,-529.5,-481.0,-348.5,-387.0
-3694.0,-1931.0,-1763.0,10.247248991992738,9.162210084994634,-483.0,-464.5,-494.5,-489.0,-564.0,-439.5,-316.5,-443.0
-3233.5,-1769.5,-1464.0,9.570223915576936,9.089728724956512,-556.5,-305.0,-398.0,-510.0,-486.5,-426.5,-244.5,-306.5
-3633.0,-1702.0,-1931.0,9.523360051049126,8.536087801721362,-530.5,-310.5,-436.5,-424.5,-578.5,-483.5,-368.5,-500.5
-3501.5,-1895.5,-1606.0,9.41104776793056,8.995581834183799,-592.0,-429.0,-456.5,-418.0,-485.0,-452.0,-366.0,-303.0
-3788.0,-1849.0,-1939.0,9.804247917069329,9.176778141657511,-609.5,-426.5,-413.0,-400.0,-647.0,-515.5,-321.0,-455.5
-3413.0,-1929.0,-1484.0,9.69797647330496,8.699075857798258,-602.0,-338.5,-446.5,-542.0,-323.5,-496.0,-338.0,-326.5
-3340.0,-1781.0,-1559.0,9.55782945950826,8.947114843792386,-685.5,-324.5,-392.0,-379.0,-377.5,-375.5,-412.0,-394.0
-3012.0,-1585.5,-1426.5,9.520212998655108,8.904950541920131,-437.0,-328.5,-469.5,-350.5,-342.5,-303.5,-408.0,-372.5
-3088.0,-1575.0,-1513.0,9.480555785364574,8.40766002204683,-393.0,-346.0,-376.5,-459.5,-436.0,-503.5,-271.5,-302.0
-3176.5,-1580.0,-1596.5,9.475814994838503,8.173867004447514,-405.0,-427.5,-408.0,-339.5,-594.0,-402.0,-244.5,-356.0
-3016.5,-1550.0,-1466.5,8.923008186949623,8.716469177272584,-546.0,-328.5,-313.5,-362.0,-505.5,-328.0,-276.0,-357.0
-3349.5,-1650.0,-1699.5,8.603256952762603,8.126875876055824,-379.5,-442.5,-510.5,-317.5,-572.5,-512.0,-274.5,-340.5
-3299.0,-1825.0,-1474.0,8.558441046873728,8.722696914275486,-440.0,-370.5,-386.0,-628.5,-465.0,-416.0,-276.0,-317.0
-3113.0,-1598.0,-1515.0,8.155999517440796,8.485685541232426,-523.0,-315.0,-366.0,-394.0,-399.0,-369.0,-417.0,-330.0
-3302.0,-1673.5,-1628.5,8.626553914944331,8.117127841711044,-439.5,-379.5,-491.5,-363.0,-524.0,-371.5,-316.5,-416.5
