Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-1937.0,-995.5,-941.5,2.815644132428699,2.5177969094779757,-279.5,-211.0,-338.0,-167.0,-260.0,-272.5,-185.0,-224.0
-1994.0,-1041.5,-952.5,2.7579313192102646,2.5278374589151804,-288.0,-183.5,-266.0,-304.0,-238.0,-223.5,-213.0,-278.0
-1993.5,-1015.0,-978.5,2.8509458469019995,2.5032759639951916,-326.5,-194.5,-246.5,-247.5,-240.5,-298.5,-172.0,-267.5
-2034.5,-1076.5,-958.0,2.848949681388007,2.496762580341763,-361.5,-169.0,-276.0,-270.0,-259.0,-254.5,-202.0,-242.5
-2196.5,-1236.5,-960.0,2.7867534776528675,2.491258685125245,-378.0,-245.0,-328.5,-285.0,-255.5,-285.0,-203.5,-216.0
-2098.5,-1132.0,-966.5,2.7984990904728573,2.488855414589246,-339.0,-230.0,-297.5,-265.5,-308.0,-252.5,-197.0,-209.0
-2242.5,-1192.5,-1050.0,2.7706252002053793,2.418447466029061,-379.5,-210.5,-267.0,-335.5,-298.5,-314.5,-195.0,-242.0
-1898.5,-1012.0,-886.5,2.8106403099166024,2.4540477789110606,-299.0,-187.5,-287.0,-238.5,-253.5,-259.5,-183.0,-190.5
-2155.0,-1162.5,-992.5,2.8753497232993444,2.5151789592372045,-358.5,-230.0,-300.5,-273.5,-291.0,-269.5,-191.5,-240.5
-2182.0,-1174.0,-1008.0,2.786218516363038,2.4102771083513894,-361.0,-222.0,-267.0,-324.0,-254.5,-273.5,-212.5,-267.5
-1924.5,-928.5,-996.0,2.807898554537031,2.462710507379638,-246.5,-186.0,-257.5,-238.5,-278.0,-265.5,-187.0,-265.5
-1877.5,-924.5,-953.0,2.743276756339603,2.4453618836071755,-272.5,-194.5,-247.0,-210.5,-298.0,-228.0,-180.0,-247.0
-1931.0,-1025.0,-906.0,2.7081029285987217,2.430894394715627,-327.0,-227.5,-254.5,-216.0,-227.0,-266.0,-205.5,-207.5
-1978.5,-1010.0,-968.5,2.7481881661547556,2.441744882199499,-276.5,-222.5,-256.5,-254.5,-280.0,-267.5,-221.0,-200.0
-2056.0,-1081.5,-974.5,2.8747930377721786,2.5120672229263517,-400.5,-197.5,-250.0,-233.5,-293.0,-267.0,-203.5,-211.0
